Date,Order ID,Customer ID,Region,State,Product,Category,Quantity,Revenue,Cost,Profit,Discount %,Payment Method
2026-01-05,ORD1001,CUST001,South,Tamil Nadu,Laptop,Electronics,2,140000,112000,28000,5,UPI
2026-01-07,ORD1002,CUST002,South,Tamil Nadu,Office Chair,Furniture,5,50000,35000,15000,10,Card
2026-01-10,ORD1003,CUST003,West,Maharashtra,Monitor,Electronics,4,72000,54000,18000,8,UPI
2026-01-14,ORD1004,CUST004,North,Delhi,Desk,Furniture,3,45000,30000,15000,5,Card
2026-01-18,ORD1005,CUST005,East,West Bengal,Printer,Electronics,2,36000,27000,9000,7,Net Banking
2026-02-03,ORD1006,CUST006,South,Karnataka,Laptop,Electronics,3,210000,168000,42000,4,UPI
2026-02-06,ORD1007,CUST007,West,Gujarat,Office Chair,Furniture,8,80000,56000,24000,12,Card
2026-02-11,ORD1008,CUST008,North,Haryana,Monitor,Electronics,6,108000,81000,27000,6,UPI
2026-02-15,ORD1009,CUST009,East,Odisha,Desk,Furniture,4,60000,40000,20000,5,Cash
2026-02-20,ORD1010,CUST010,South,Telangana,Printer,Electronics,5,90000,67500,22500,9,UPI
2026-03-02,ORD1011,CUST011,South,Tamil Nadu,Laptop,Electronics,4,280000,224000,56000,3,Card
2026-03-05,ORD1012,CUST012,West,Maharashtra,Office Chair,Furniture,10,100000,70000,30000,10,UPI
2026-03-09,ORD1013,CUST013,North,Delhi,Monitor,Electronics,8,144000,108000,36000,7,Card
2026-03-13,ORD1014,CUST014,East,West Bengal,Desk,Furniture,6,90000,60000,30000,6,UPI
2026-03-19,ORD1015,CUST015,South,Karnataka,Printer,Electronics,7,126000,94500,31500,8,Net Banking
2026-04-04,ORD1016,CUST016,West,Gujarat,Laptop,Electronics,2,140000,112000,28000,5,UPI
2026-04-08,ORD1017,CUST017,North,Haryana,Office Chair,Furniture,12,120000,84000,36000,11,Card
2026-04-12,ORD1018,CUST018,East,Odisha,Monitor,Electronics,5,90000,67500,22500,6,UPI
2026-04-17,ORD1019,CUST019,South,Telangana,Desk,Furniture,8,120000,80000,40000,4,Card
2026-04-22,ORD1020,CUST020,South,Tamil Nadu,Printer,Electronics,9,162000,121500,40500,8,UPI
2026-05-03,ORD1021,CUST021,North,Delhi,Laptop,Electronics,5,350000,280000,70000,4,Card
2026-05-07,ORD1022,CUST022,West,Maharashtra,Office Chair,Furniture,15,150000,105000,45000,13,UPI
2026-05-11,ORD1023,CUST023,South,Karnataka,Monitor,Electronics,10,180000,135000,45000,7,UPI
2026-05-16,ORD1024,CUST024,East,West Bengal,Desk,Furniture,10,150000,100000,50000,5,Cash
2026-05-21,ORD1025,CUST025,South,Tamil Nadu,Printer,Electronics,11,198000,148500,49500,9,Card
2026-06-02,ORD1026,CUST026,West,Gujarat,Laptop,Electronics,6,420000,336000,84000,3,UPI
2026-06-06,ORD1027,CUST027,North,Haryana,Office Chair,Furniture,18,180000,126000,54000,12,Card
2026-06-12,ORD1028,CUST028,East,Odisha,Monitor,Electronics,12,216000,162000,54000,6,UPI
2026-06-17,ORD1029,CUST029,South,Telangana,Desk,Furniture,12,180000,120000,60000,5,Net Banking
2026-06-23,ORD1030,CUST030,South,Tamil Nadu,Printer,Electronics,14,252000,189000,63000,8,UPI
